status,message,user_id,phone,row,timestamp
success,"Номер успешно обновлен",1,2080,2,"2025-11-07 16:08:17"
success,"Номер успешно обновлен",7,2075,3,"2025-11-07 16:08:18"
success,"Номер успешно обновлен",25,2088,4,"2025-11-07 16:08:19"
success,"Номер успешно обновлен",29,2086,5,"2025-11-07 16:08:19"
success,"Номер успешно обновлен",31,2089,6,"2025-11-07 16:08:20"
success,"Номер успешно обновлен",35,5351,7,"2025-11-07 16:08:21"
success,"Номер успешно обновлен",37,2084,8,"2025-11-07 16:08:22"
error,"Ошибка заполнения поля ""Внутренний номер"", указанный номер уже используется другим сотрудником или группой телефонии. ",43,2081,9,"2025-11-07 16:08:22"
success,"Номер успешно обновлен",49,2076,10,"2025-11-07 16:08:23"
success,"Номер успешно обновлен",53,2005,11,"2025-11-07 16:08:24"
success,"Номер успешно обновлен",57,2012,12,"2025-11-07 16:08:24"
success,"Номер успешно обновлен",59,2011,13,"2025-11-07 16:08:25"
success,"Номер успешно обновлен",61,2014,14,"2025-11-07 16:08:26"
success,"Номер успешно обновлен",63,2020,15,"2025-11-07 16:08:27"
success,"Номер успешно обновлен",65,2035,16,"2025-11-07 16:08:27"
success,"Номер успешно обновлен",67,2041,17,"2025-11-07 16:08:28"
success,"Номер успешно обновлен",69,2040,18,"2025-11-07 16:08:29"
success,"Номер успешно обновлен",71,2030,19,"2025-11-07 16:08:30"
success,"Номер успешно обновлен",73,718,20,"2025-11-07 16:08:30"
success,"Номер успешно обновлен",75,724,21,"2025-11-07 16:08:31"
success,"Номер успешно обновлен",79,723,22,"2025-11-07 16:08:32"
success,"Номер успешно обновлен",81,3002,23,"2025-11-07 16:08:32"
success,"Номер успешно обновлен",83,3010,24,"2025-11-07 16:08:33"
success,"Номер успешно обновлен",85,3310,25,"2025-11-07 16:08:34"
success,"Номер успешно обновлен",87,3410,26,"2025-11-07 16:08:35"
skipped,"Временный номер (пропуск)",91,1000,27,"2025-11-07 16:08:35"
success,"Номер успешно обновлен",93,4210,28,"2025-11-07 16:08:36"
success,"Номер успешно обновлен",95,3610,29,"2025-11-07 16:08:36"
success,"Номер успешно обновлен",97,4110,30,"2025-11-07 16:08:37"
success,"Номер успешно обновлен",101,3180,31,"2025-11-07 16:08:38"
success,"Номер успешно обновлен",103,3189,32,"2025-11-07 16:08:38"
success,"Номер успешно обновлен",107,2017,33,"2025-11-07 16:08:39"
success,"Номер успешно обновлен",109,2090,34,"2025-11-07 16:08:40"
success,"Номер успешно обновлен",111,2091,35,"2025-11-07 16:08:40"
success,"Номер успешно обновлен",115,2100,36,"2025-11-07 16:08:41"
skipped,"Временный номер (пропуск)",117,1001,37,"2025-11-07 16:08:41"
success,"Номер успешно обновлен",119,2130,38,"2025-11-07 16:08:42"
success,"Номер успешно обновлен",121,2013,39,"2025-11-07 16:08:43"
success,"Номер успешно обновлен",123,3008,40,"2025-11-07 16:08:44"
success,"Номер успешно обновлен",127,2072,41,"2025-11-07 16:08:44"
error,"Ошибка заполнения поля ""Внутренний номер"", указанный номер уже используется другим сотрудником или группой телефонии. ",129,2071,42,"2025-11-07 16:08:45"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",133,20712,43,"2025-11-07 16:08:45"
success,"Номер успешно обновлен",135,2074,44,"2025-11-07 16:08:46"
success,"Номер успешно обновлен",137,2023,45,"2025-11-07 16:08:47"
success,"Номер успешно обновлен",141,2024,46,"2025-11-07 16:08:48"
